Temperature,VibrationX,VibrationY,VibrationZ,Current,Voltage,RPM,MagX,MagY,MagZ,Condition,Timestamp
19.18,-0.0066,0.9833,0.0002,0.0,8.3,1295.7,0.334,-0.459,-0.158,Normal,2026-05-14 21:17:07
21.92,-0.0068,0.9834,0.0004,0.0,8.31,1345.5,0.331,-0.44,-0.142,Normal,2026-05-14 21:17:08
19.5,-0.0067,0.9833,0.0004,0.0,8.31,1345.5,0.347,-0.44,-0.136,Normal,2026-05-14 21:17:08
19.02,-0.0063,0.9832,0.0006,0.0,8.3,1336.8,0.342,-0.457,-0.156,Normal,2026-05-14 21:17:09
19.34,-0.0065,0.9831,-0.0001,0.0,8.3,1336.8,0.332,-0.445,-0.147,Normal,2026-05-14 21:17:09
19.18,-0.0066,0.9833,0.0005,0.0,8.3,1302.1,0.344,-0.437,-0.133,Normal,2026-05-14 21:17:10
19.58,-0.0068,0.9833,0.0006,0.0,8.31,1302.1,0.345,-0.454,-0.152,Normal,2026-05-14 21:17:10
19.1,-0.0063,0.9833,0.0006,0.0,8.32,1302.1,0.332,-0.451,-0.152,Normal,2026-05-14 21:17:11
19.1,-0.0062,0.9836,0.0006,0.0,8.32,1302.1,0.344,-0.438,-0.134,Normal,2026-05-14 21:17:12
15.55,-0.007,0.9833,0.0007,0.0,8.31,1330.4,0.329,-0.45,-0.152,Normal,2026-05-14 21:17:12
19.34,-0.0067,0.9831,0.0002,0.0,8.3,1330.4,0.345,-0.441,-0.137,Normal,2026-05-14 21:17:13
19.34,-0.0063,0.9833,0.0002,0.0,8.31,1330.4,0.329,-0.45,-0.152,Normal,2026-05-14 21:17:13
19.18,-0.0067,0.9837,0.001,0.0,8.29,1330.4,0.337,-0.437,-0.137,Normal,2026-05-14 21:17:14
19.5,-0.0071,0.9836,0.0011,0.0,8.3,1328.1,0.347,-0.446,-0.143,Normal,2026-05-14 21:17:14
19.34,-0.0068,0.9836,0.0009,0.0,8.3,1328.1,0.333,-0.456,-0.156,Normal,2026-05-14 21:17:15
19.34,-0.0066,0.9836,0.0007,0.0,8.31,1303.2,0.338,-0.436,-0.135,Normal,2026-05-14 21:17:16
19.42,-0.0068,0.9836,0.0009,0.0,8.29,1303.2,0.337,-0.457,-0.157,Normal,2026-05-14 21:17:16
19.74,-0.0071,0.9834,0.0006,0.0,8.31,1303.2,0.332,-0.442,-0.144,Normal,2026-05-14 21:17:17
20.07,-0.0065,0.9833,0.0,0.0,8.3,1303.2,0.349,-0.449,-0.146,Normal,2026-05-14 21:17:17
19.42,-0.0066,0.9833,0.0002,0.0,8.3,1313.0,0.331,-0.443,-0.146,Normal,2026-05-14 21:17:18
21.11,-0.0068,0.983,-0.0007,0.0,8.31,1313.0,0.348,-0.448,-0.146,Normal,2026-05-14 21:17:18
19.5,-0.0067,0.9834,-0.0004,0.0,8.32,1372.7,0.331,-0.455,-0.155,Normal,2026-05-14 21:17:19
17.65,-0.0063,0.9834,-0.0002,0.0,8.31,1372.7,0.336,-0.436,-0.137,Normal,2026-05-14 21:17:20
19.26,-0.0062,0.9833,0.0,0.0,8.3,1328.1,0.349,-0.447,-0.144,Normal,2026-05-14 21:17:20
19.34,-0.0067,0.9836,-0.0002,0.0,8.32,1328.1,0.331,-0.441,-0.144,Normal,2026-05-14 21:17:21
19.42,-0.0066,0.9836,0.0,0.0,8.31,1303.2,0.342,-0.437,-0.133,Normal,2026-05-14 21:17:21
19.34,-0.0063,0.9834,0.0001,0.0,8.3,1303.2,0.332,-0.451,-0.151,Normal,2026-05-14 21:17:22
18.62,-0.0067,0.9836,0.0004,0.0,8.31,1311.9,0.335,-0.436,-0.137,Normal,2026-05-14 21:17:23
19.9,-0.0071,0.9836,0.0004,0.0,8.3,1311.9,0.347,-0.444,-0.14,Normal,2026-05-14 21:17:23
19.34,-0.0068,0.9836,0.0005,0.0,8.31,1328.1,0.337,-0.46,-0.159,Normal,2026-05-14 21:17:24
19.66,-0.0066,0.9836,0.0005,0.0,8.31,1328.1,0.331,-0.442,-0.145,Normal,2026-05-14 21:17:24
19.34,-0.0068,0.9837,0.0007,0.0,8.29,1345.5,0.34,-0.435,-0.133,Normal,2026-05-14 21:17:25
18.7,-0.0068,0.9837,0.0005,0.0,8.29,1345.5,0.336,-0.458,-0.157,Normal,2026-05-14 21:17:25
19.5,-0.0062,0.9836,0.0004,0.0,8.31,1338.0,0.331,-0.442,-0.145,Normal,2026-05-14 21:17:26
19.34,-0.0067,0.9836,0.0006,0.0,8.32,1338.0,0.341,-0.437,-0.133,Normal,2026-05-14 21:17:27
19.1,-0.0067,0.9836,0.0006,0.0,8.3,1303.2,0.332,-0.455,-0.155,Normal,2026-05-14 21:17:27
20.31,-0.0063,0.9836,0.0005,0.0,8.31,1303.2,0.346,-0.441,-0.137,Normal,2026-05-14 21:17:28
19.66,-0.0066,0.9834,0.0005,0.0,8.3,1320.6,0.333,-0.456,-0.156,Normal,2026-05-14 21:17:28
21.44,-0.0063,0.9834,0.0007,0.0,8.3,1320.6,0.334,-0.438,-0.14,Normal,2026-05-14 21:17:29
19.42,-0.007,0.9834,0.0,0.0,8.31,1311.9,0.344,-0.455,-0.154,Normal,2026-05-14 21:17:29
19.99,-0.0068,0.9831,-0.0016,0.0,8.3,1311.9,0.335,-0.436,-0.138,Normal,2026-05-14 21:17:30
18.21,-0.0068,0.9833,-0.0007,0.0,8.3,1311.9,0.348,-0.446,-0.142,Normal,2026-05-14 21:17:31
19.5,-0.0065,0.9831,-0.0012,0.0,8.3,1311.9,0.333,-0.456,-0.156,Normal,2026-05-14 21:17:31
18.94,-0.0067,0.9832,-0.0012,0.0,8.31,1328.1,0.333,-0.44,-0.142,Normal,2026-05-14 21:17:32
22.89,-0.0071,0.9836,-0.0012,0.0,8.32,1328.1,0.344,-0.438,-0.134,Normal,2026-05-14 21:17:32
19.74,-0.0067,0.9836,-0.0005,0.0,8.29,1319.4,0.34,-0.458,-0.158,Normal,2026-05-14 21:17:33
19.74,-0.0065,0.9834,0.0,0.0,8.31,1319.4,0.33,-0.443,-0.147,Normal,2026-05-14 21:17:33
19.34,-0.0066,0.9837,0.0001,0.0,8.31,1346.7,0.349,-0.448,-0.146,Normal,2026-05-14 21:17:34
19.58,-0.0068,0.9838,0.0002,0.0,8.29,1346.7,0.334,-0.457,-0.157,Normal,2026-05-14 21:17:35
19.82,-0.0063,0.9834,0.0002,0.0,8.32,1302.1,0.334,-0.436,-0.139,Normal,2026-05-14 21:17:35
19.18,-0.0065,0.9834,0.0005,0.0,8.29,1302.1,0.349,-0.443,-0.139,Normal,2026-05-14 21:17:36
20.15,-0.0065,0.9836,0.0007,0.0,8.31,1310.8,0.332,-0.457,-0.158,Normal,2026-05-14 21:17:36
19.58,-0.0068,0.9836,0.0004,0.0,8.29,1310.8,0.332,-0.439,-0.142,Normal,2026-05-14 21:17:37
19.58,-0.0063,0.9837,0.0002,0.0,8.31,1293.4,0.345,-0.438,-0.137,Normal,2026-05-14 21:17:37
19.42,-0.0062,0.9833,0.0002,0.0,8.31,1293.4,0.335,-0.457,-0.157,Normal,2026-05-14 21:17:38
19.66,-0.0063,0.9836,0.0004,0.0,8.3,1328.1,0.331,-0.441,-0.144,Normal,2026-05-14 21:17:39
19.9,-0.007,0.9836,0.0007,0.0,8.31,1328.1,0.348,-0.449,-0.148,Normal,2026-05-14 21:17:39
20.15,-0.0063,0.9837,0.0009,0.0,8.3,1303.2,0.332,-0.454,-0.156,Normal,2026-05-14 21:17:40
19.58,-0.0062,0.9834,0.0007,0.0,8.31,1303.2,0.341,-0.436,-0.134,Normal,2026-05-14 21:17:40
20.23,-0.0068,0.9834,0.0005,0.0,8.29,1295.7,0.332,-0.454,-0.155,Normal,2026-05-14 21:17:41
20.39,-0.0066,0.9837,0.0006,0.0,8.31,1295.7,0.336,-0.435,-0.135,Normal,2026-05-14 21:17:42
19.5,-0.0068,0.9836,0.0002,0.0,8.3,1303.2,0.338,-0.458,-0.158,Normal,2026-05-14 21:17:42
19.74,-0.0063,0.9834,0.0004,0.0,8.29,1303.2,0.332,-0.44,-0.144,Normal,2026-05-14 21:17:43
19.82,-0.0066,0.9832,-0.0005,0.0,8.29,1319.4,0.346,-0.438,-0.134,Normal,2026-05-14 21:17:43
19.5,-0.0068,0.983,-0.001,0.0,8.29,1319.4,0.335,-0.457,-0.157,Normal,2026-05-14 21:17:44
18.13,-0.0068,0.9836,-0.0002,0.0,8.31,1319.4,0.332,-0.439,-0.143,Normal,2026-05-14 21:17:44
20.79,-0.006,0.9836,0.0001,0.0,8.31,1319.4,0.343,-0.437,-0.134,Normal,2026-05-14 21:17:45
20.15,-0.0063,0.9836,0.0005,0.0,8.29,1302.1,0.341,-0.459,-0.159,Normal,2026-05-14 21:17:46
19.5,-0.0066,0.9836,0.0009,0.0,8.3,1302.1,0.33,-0.442,-0.146,Normal,2026-05-14 21:17:46
19.74,-0.0068,0.9838,0.0009,0.0,8.31,1364.0,0.35,-0.447,-0.145,Normal,2026-05-14 21:17:47
19.34,-0.0065,0.9834,0.0002,0.0,8.31,1364.0,0.33,-0.44,-0.143,Normal,2026-05-14 21:17:47
19.58,-0.0062,0.9834,0.0007,0.0,8.3,1313.0,0.346,-0.453,-0.152,Normal,2026-05-14 21:17:48
19.5,-0.0068,0.9834,0.0006,0.0,8.3,1313.0,0.33,-0.445,-0.148,Normal,2026-05-14 21:17:48
19.74,-0.0068,0.9838,0.0006,0.0,8.3,1329.3,0.348,-0.442,-0.139,Normal,2026-05-14 21:17:49
20.07,-0.0063,0.9837,0.0009,0.0,8.31,1329.3,0.33,-0.445,-0.147,Normal,2026-05-14 21:17:50
21.03,-0.0063,0.9838,0.001,0.0,8.3,1321.7,0.349,-0.449,-0.147,Normal,2026-05-14 21:17:50
20.23,-0.0063,0.9838,0.0009,0.0,8.31,1321.7,0.329,-0.448,-0.151,Normal,2026-05-14 21:17:51
18.86,-0.0063,0.9832,0.0006,0.0,8.29,1310.8,0.339,-0.437,-0.134,Normal,2026-05-14 21:17:51
19.9,-0.0065,0.9831,-0.0005,0.0,8.28,1310.8,0.332,-0.455,-0.156,Normal,2026-05-14 21:17:52
19.74,-0.0063,0.9833,-0.0002,0.0,8.29,1311.9,0.334,-0.439,-0.142,Normal,2026-05-14 21:17:52
19.82,-0.0063,0.9836,0.0004,0.0,8.31,1311.9,0.343,-0.436,-0.133,Normal,2026-05-14 21:17:53
19.99,-0.0068,0.9836,0.0005,0.0,8.28,1319.4,0.342,-0.456,-0.156,Normal,2026-05-14 21:17:54
19.42,-0.0066,0.9834,0.0005,0.0,8.28,1319.4,0.331,-0.442,-0.144,Normal,2026-05-14 21:17:54
20.39,-0.0062,0.9834,0.0,0.0,8.3,1320.6,0.349,-0.449,-0.146,Normal,2026-05-14 21:17:55
19.74,-0.0066,0.9836,0.0005,0.0,8.3,1320.6,0.33,-0.443,-0.146,Normal,2026-05-14 21:17:55
20.39,-0.0068,0.9836,0.0,0.0,8.3,1311.9,0.34,-0.436,-0.133,Normal,2026-05-14 21:17:56
19.9,-0.0066,0.9832,-0.0004,0.0,8.3,1311.9,0.335,-0.458,-0.158,Normal,2026-05-14 21:17:56
20.07,-0.0065,0.9831,-0.0006,0.0,8.3,1303.2,0.336,-0.438,-0.139,Normal,2026-05-14 21:17:57
25.71,-0.0067,0.9833,-0.0001,0.0,8.3,1303.2,0.349,-0.447,-0.144,Normal,2026-05-14 21:17:58
19.34,-0.0068,0.9838,0.0005,0.0,8.31,1319.4,0.335,-0.456,-0.157,Normal,2026-05-14 21:17:58
20.55,-0.0065,0.9833,0.0,0.0,8.3,1319.4,0.335,-0.438,-0.14,Normal,2026-05-14 21:17:59
18.86,-0.0062,0.9836,0.0002,0.0,8.31,1329.3,0.345,-0.453,-0.152,Normal,2026-05-14 21:17:59
20.31,-0.0063,0.9838,0.001,0.0,8.3,1329.3,0.331,-0.448,-0.149,Normal,2026-05-14 21:18:00
20.07,-0.0066,0.9836,0.0002,0.0,8.29,1310.8,0.336,-0.437,-0.137,Normal,2026-05-14 21:18:01
22.0,-0.0063,0.9836,0.0004,0.0,8.29,1310.8,0.34,-0.459,-0.158,Normal,2026-05-14 21:18:01
19.82,-0.0061,0.9837,0.0006,0.0,8.29,1294.5,0.331,-0.441,-0.145,Normal,2026-05-14 21:18:02
19.9,-0.0067,0.9837,0.0007,0.0,8.3,1294.5,0.347,-0.452,-0.15,Normal,2026-05-14 21:18:02
18.78,-0.0067,0.9836,0.0007,0.0,8.3,1364.0,0.33,-0.445,-0.148,Normal,2026-05-14 21:18:03
19.74,-0.0068,0.9836,0.0007,0.0,8.3,1364.0,0.347,-0.445,-0.142,Normal,2026-05-14 21:18:03
20.79,-0.0066,0.9833,0.0007,0.0,8.31,1346.7,0.334,-0.459,-0.159,Normal,2026-05-14 21:18:04
20.63,-0.0067,0.9837,0.001,0.0,8.29,1346.7,0.337,-0.436,-0.135,Normal,2026-05-14 21:18:05
19.42,-0.007,0.9837,0.0006,0.0,8.3,1311.9,0.348,-0.446,-0.143,Normal,2026-05-14 21:18:05
20.15,-0.0067,0.9833,0.0002,0.0,8.29,1311.9,0.33,-0.453,-0.154,Normal,2026-05-14 21:18:06
20.23,-0.0063,0.9836,0.0005,0.0,8.29,1345.5,0.335,-0.436,-0.138,Normal,2026-05-14 21:18:06
20.39,-0.0066,0.9836,0.0001,0.0,8.29,1345.5,0.347,-0.447,-0.145,Normal,2026-05-14 21:18:07
20.47,-0.0067,0.9836,0.0,0.0,8.29,1345.5,0.332,-0.454,-0.155,Normal,2026-05-14 21:18:07
20.55,-0.0063,0.983,-0.0015,0.0,8.28,1345.5,0.34,-0.435,-0.133,Normal,2026-05-14 21:18:08
20.47,-0.0062,0.9828,-0.0013,0.0,8.29,1329.3,0.343,-0.457,-0.155,Normal,2026-05-14 21:18:09
20.15,-0.0066,0.983,-0.0016,0.0,8.3,1329.3,0.33,-0.445,-0.147,Normal,2026-05-14 21:18:09
19.74,-0.0066,0.9831,-0.0012,0.0,8.29,1302.1,0.34,-0.436,-0.134,Normal,2026-05-14 21:18:10
20.23,-0.0066,0.9832,-0.0007,0.0,8.3,1302.1,0.347,-0.454,-0.151,Normal,2026-05-14 21:18:10
20.15,-0.0065,0.9834,-0.0002,0.0,8.31,1302.1,0.329,-0.451,-0.153,Normal,2026-05-14 21:18:11
20.39,-0.0063,0.9833,0.0,0.0,8.3,1302.1,0.338,-0.436,-0.135,Normal,2026-05-14 21:18:11
19.66,-0.0068,0.9834,0.0,0.0,8.3,1329.3,0.334,-0.458,-0.158,Normal,2026-05-14 21:18:12
20.55,-0.0068,0.9833,0.0004,0.0,8.3,1329.3,0.337,-0.435,-0.134,Normal,2026-05-14 21:18:13
20.15,-0.0067,0.9834,0.0004,0.0,8.29,1294.5,0.344,-0.455,-0.154,Normal,2026-05-14 21:18:13
23.53,-0.0066,0.9837,0.0007,0.0,8.29,1294.5,0.33,-0.445,-0.148,Normal,2026-05-14 21:18:14
20.23,-0.0066,0.9839,0.001,0.0,8.3,1303.2,0.348,-0.444,-0.142,Normal,2026-05-14 21:18:14
17.65,-0.0068,0.9837,0.001,0.0,8.28,1303.2,0.332,-0.455,-0.156,Normal,2026-05-14 21:18:15
19.99,-0.0062,0.9834,0.001,0.0,8.3,1354.2,0.334,-0.439,-0.14,Normal,2026-05-14 21:18:15
